x,y,u,v
64700.0,0.0,0.0,0.14
64800.0,0.0,0.0,0.15
64900.0,0.0,0.0,0.16
65000.0,0.0,0.0,0.16
65100.0,0.0,0.0,0.17
65200.0,0.0,0.0,0.18
65300.0,0.0,0.0,0.2
65400.0,0.0,0.0,0.21
65500.0,0.0,0.0,0.23
65600.0,0.0,0.0,0.24
65700.0,0.0,0.0,0.26
65800.0,0.0,0.0,0.28
65900.0,0.0,0.0,0.3
66000.0,0.0,0.0,0.31
66100.0,0.0,0.0,0.33
66200.0,0.0,0.0,0.35
66300.0,0.0,0.0,0.37
66400.0,0.0,0.0,0.39
66500.0,0.0,0.0,0.41
66600.0,0.0,0.0,0.42
66700.0,0.0,0.0,0.44
66800.0,0.0,0.0,0.46
66900.0,0.0,0.0,0.48
67000.0,0.0,0.0,0.5
67100.0,0.0,0.0,0.52
67200.0,0.0,0.0,0.54
67300.0,0.0,0.0,0.56
67400.0,0.0,0.0,0.59
67500.0,0.0,0.0,0.62
67600.0,0.0,0.0,0.65
67700.0,0.0,0.0,0.69
67800.0,0.0,0.0,0.73
67900.0,0.0,0.0,0.78
68000.0,0.0,0.0,0.83
68100.0,0.0,0.0,0.89
68200.0,0.0,0.0,0.94
68300.0,0.0,0.0,1.01
68400.0,0.0,0.0,1.07
68500.0,0.0,0.0,1.13
68600.0,0.0,0.0,1.2
68700.0,0.0,0.0,1.25
68800.0,0.0,0.0,1.31
68900.0,0.0,0.0,1.37
69000.0,0.0,0.0,1.42
69100.0,0.0,0.0,1.45
69200.0,0.0,0.0,1.5
69300.0,0.0,0.0,1.54
69400.0,0.0,0.0,1.57
69500.0,0.0,0.0,1.6
69600.0,0.0,0.0,1.64
69700.0,0.0,0.0,1.66
69800.0,0.0,0.0,1.69
69900.0,0.0,0.0,1.7
70000.0,0.0,0.0,1.73
70100.0,0.0,0.0,1.74
70200.0,0.0,0.0,1.77
70300.0,0.0,0.0,1.77
70400.0,0.0,0.0,1.77
70500.0,0.0,0.0,1.78
70600.0,0.0,0.0,1.77
70700.0,0.0,0.0,1.77
70800.0,0.0,0.0,1.75
70900.0,0.0,0.0,1.73
71000.0,0.0,0.0,1.7
